Jop title,Company name,Location,Posted,Skills,links
financial planning analyst,Confidential -,"6th of October, Giza, Egypt",1 month ago,Full TimeOn-siteExperienced / 7 - 10 Yrs of Exp / Accounting/Finance / Analyst / Finance / Financial Analysis / Accounting / SAP / Financial Planning,https://wuzzuf.net/jobs/p/Knz3jQ4HNcQY-financial-planning-analyst-Giza-Egypt
Data Analyst Intern,Middlesex University Duba -,"Dubai, United Arab Emirates",20 days ago,Full TimeNot specified / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Data Analysis / Analysis / Computer Science / Information Technology (IT) / Microsoft Office / SQL / Microsoft Excel,https://wuzzuf.net/jobs/p/g/nH7BsxZRsNOY-Data-Analyst-Intern-Middlesex-University-Duba-Dubai-United-Arab-Emirates
Senior Business analyst,Algoriza -,"6th of October, Giza, Egypt",1 month ago,Full TimeRemoteExperienced / 5 - 7 Yrs of Exp / IT/Software Development / Analyst/Research / Business Development / Business Analysis / Analyst / business / Management / Computer Science / Engineering / Finance,https://wuzzuf.net/jobs/p/xlzklb7wDVWC-Senior-Business-analyst-Algoriza-Giza-Egypt
Senior Financial Analyst,Square Engineering Firm -,"Madinaty, Cairo, Egypt",1 month ago,Full TimeOn-siteExperienced / 10 - 12 Yrs of Exp / Accounting/Finance / Analyst / CFA / Finance / Financial Management / Planning / ERP,https://wuzzuf.net/jobs/p/x2kfuLVnpoxC-Senior-Financial-Analyst-Square-Engineering-Firm-Cairo-Egypt
FP&A analyst,Tiba Egypt  -,"Katameya, Cairo, Egypt",1 month ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / Accounting/Finance / Analyst/Research / Financial Analysis / Financial Planning / financial analyst / Budgeting,https://wuzzuf.net/jobs/p/8hBpgg4GZp65-FPA-analyst-Tiba-Egypt-Cairo-Egypt
Data Analyst,Steer Studios -,"Riyadh, Saudi Arabia",21 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Data Analysis / Analysis / Computer Science / Information Technology (IT) / SQL / Microsoft Office / Microsoft Excel,https://wuzzuf.net/jobs/p/g/gDCpoI1So0fW-Data-Analyst-Steer-Studios-Riyadh-Saudi-Arabia
Data Analyst/Market Researcher,Intoude Foundation -,"Kuwait City, Kuwait",19 days ago,Full TimeEntry Level / Marketing/PR/Advertising / Analyst/Research / Media/Journalism/Publishing / Market Research / Marketing / Analysis / Research / Data Analysis / Business Administration / Business,https://wuzzuf.net/jobs/p/g/C8dWG3hPcEZK-Data-AnalystMarket-Researcher-Intoude-Foundation-Kuwait-City-Kuwait
Human Resources Data Analyst,Talents Work -,"Riyadh, Saudi Arabia",24 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Data Analysis / Analysis / Computer Science / Information Technology (IT) / Microsoft Office / SQL / Microsoft Excel,https://wuzzuf.net/jobs/p/g/XlEkD15iVlDs-Human-Resources-Data-Analyst-Talents-Work-Riyadh-Saudi-Arabia
Data Analyst,Alvest Equipment Services (AES) -,"Dubai, United Arab Emirates",24 days ago,Full TimeEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Data Analysis / Analysis / Computer Science / Information Technology (IT) / SQL / Microsoft Office / Microsoft Excel,https://wuzzuf.net/jobs/p/g/h3BTBvGk5ePJ-Data-Analyst-Alvest-Equipment-Services-AES-Dubai-United-Arab-Emirates
Data Analyst – Graduate Training Program (online – part-time),Moyyn -,"Dubai, United Arab Emirates",23 days ago,Part TimeEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / information technology (it) / computer science / engineering / microsoft office / training / python / testing,https://wuzzuf.net/jobs/p/g/yxnTjbwxZeq9-Data-Analyst-–-Graduate-Training-Program-online-–-part-time-Moyyn-Dubai-United-Arab-Emirates
Odoo Functional Consultant/Business Analyst,Confidential -,"Sheikh Zayed, Giza, Egypt",2 months ago,Full TimeOn-siteExperienced / 4 - 6 Yrs of Exp / Administration / Other / Business Analyst / Functional / Odoo functional consultant / Odoo functional / Functional consultant,https://wuzzuf.net/jobs/p/WBH0OkKA33JI-Odoo-Functional-ConsultantBusiness-Analyst-Giza-Egypt
Data Analyst,Truelancer.com -,"Riyadh, Saudi Arabia",28 days ago,Full TimeEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Data Analysis / Analysis / Computer Science / Information Technology (IT) / SQL / Microsoft Office / Microsoft Excel,https://wuzzuf.net/jobs/p/g/qwNqHnCgUT1u-Data-Analyst-Truelancer-com-Riyadh-Saudi-Arabia
Accounting Analyst,Alreda Sealants group -,"Shubra, Cairo, Egypt",2 months ago,Full TimeOn-siteEntry Level / 1 - 2 Yrs of Exp / Accounting/Finance / Analyst/Research / Accounting / Finance / Commerce / Analyst,https://wuzzuf.net/jobs/p/LAt2aJX3ZNcH-Accounting-Analyst-Alreda-Sealants-group-Cairo-Egypt
Revenue Analyst,Blu Mountain -,"Los Angeles, United States",2 months ago,Full TimeRemoteEntry Level / 3+ Yrs of Exp / Accounting/Finance / IT/Software Development / Analysis / Revenue / Budgeting / Business Planning / Revenue Management,https://wuzzuf.net/jobs/p/1TzihqokdWhZ-Revenue-Analyst-Blu-Mountain-Los-Angeles-United-States
Budget Analyst,RFCO Developments -,"New Cairo, Cairo, Egypt",2 months ago,Full TimeOn-siteEntry Level / 1 - 2 Yrs of Exp / Accounting/Finance / Accounting / Budget / business / Finance / Financial Analysis / Analysis / Budgeting / analytical / Forecasting,https://wuzzuf.net/jobs/p/X4LWaAIB2v31-Budget-Analyst-RFCO-Developments-Cairo-Egypt
Financial Analyst,Capital Guard -,"Sheraton, Cairo, Egypt",7 days ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / Accounting/Finance / Accounting / Business Administration / Finance / Financial Analysis / Financial Management / Financial / Commerce,https://wuzzuf.net/jobs/p/jko8GJWlyxl5-Financial-Analyst-Capital-Guard-Cairo-Egypt
Analyst - Credit and Collections,Wesco -,"Dubai, United Arab Emirates",1 day ago,Full TimeEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Analysis / Information Technology (IT) / Computer Science / Business Analysis / Finance / Accounting / Microsoft Office,https://wuzzuf.net/jobs/p/g/5846YALtMPNT-Analyst---Credit-and-Collections-Wesco-Dubai-United-Arab-Emirates
Consumer Behavior Analyst,Intoude Foundation -,"Kuwait City, Kuwait",2 days ago,Full TimeExperienced / Marketing/PR/Advertising / Analyst/Research / Media/Journalism/Publishing / marketing / market research / social media / sales / analysis / research / communication skills,https://wuzzuf.net/jobs/p/g/txZr96nApdi3-Consumer-Behavior-Analyst-Intoude-Foundation-Kuwait-City-Kuwait
Job & OD Analyst,BSL - BAE Systems Strategic Aerospace Services WLL -,"Doha, Qatar",2 months ago,Full TimeEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / computer engineering / computer science / data analysis / data analytics team lead / quality,https://wuzzuf.net/jobs/p/g/x0gpgbMJEClG-Job-OD-Analyst-BSL---BAE-Systems-Strategic-Aerospace-Services-WLL-Doha-Qatar
Analyst,Mustashar Accelerator - مسرعة مستشار -,"Riyadh, Saudi Arabia",8 days ago,Full TimeEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Analysis / Information Technology (IT) / Computer Science / Business Analysis / Finance / Accounting / Microsoft Office,https://wuzzuf.net/jobs/p/g/82GLFLA6LAPO-Analyst-Mustashar-Accelerator---مسرعة-مستشار-Riyadh-Saudi-Arabia
Market Analyst,inoi -,"Dubai, United Arab Emirates",17 days ago,Full TimeNot specified / Marketing/PR/Advertising / Analyst/Research / Media/Journalism/Publishing / Marketing / Market Research / Analysis / Research / Analyst / Business Analysis / Economics,https://wuzzuf.net/jobs/p/g/1Ha4I4da4KwV-Market-Analyst-inoi-Dubai-United-Arab-Emirates
Senior Data Integration Engineer,e-finance -,"Smart Village, Giza, Egypt",17 days ago,Full TimeOn-siteExperienced / 3 - 5 Yrs of Exp / IT/Software Development / Analyst/Research / ETL / Integration / Data Integration / Software Engineering / Data Modeling / Database / Python / Software Development,https://wuzzuf.net/jobs/p/4PqXRTu3ANU2-Senior-Data-Integration-Engineer-e-finance-Giza-Egypt
Big Data Consultant,Exco Egypt -,"Nasr City, Cairo, Egypt",13 days ago,Full TimeOn-siteManager / 10 - 16 Yrs of Exp / males_preferred / Analyst/Research / Strategy/Consulting / Big Data / Analysis / Data Management / Computer Engineering / Data Science,https://wuzzuf.net/jobs/p/egjM6VMefvKW-Big-Data-Consultant-Exco-Egypt-Cairo-Egypt
Implementation Analyst,Boston Consulting Group (BCG) -,"Riyadh, Saudi Arabia",17 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / information technology (it) / computer science / software development / sql / analysis / engineering / agile,https://wuzzuf.net/jobs/p/g/WiKWt1r9i1CO-Implementation-Analyst-Boston-Consulting-Group-BCG-Riyadh-Saudi-Arabia
Global Supply Chain Analyst,Lucy Electric -,"Dubai, United Arab Emirates",18 days ago,Full TimeEntry Level / Logistics/Supply Chain / Analyst/Research / Engineering - Mechanical/Electrical / Supply Chain / Logistics / Analysis / Microsoft Office / Commerce / Data Analysis / English,https://wuzzuf.net/jobs/p/g/2twS9zGZ96NW-Global-Supply-Chain-Analyst-Lucy-Electric-Dubai-United-Arab-Emirates
Analyst III Business Process Transactions,DXC Technology -,"Riyadh, Saudi Arabia",19 days ago,Full TimeExperienced / Accounting/Finance / IT/Software Development / Analyst/Research / finance / accounting / information technology (it) / computer science / analysis / business / management,https://wuzzuf.net/jobs/p/g/vqTuKYkqphJ0-Analyst-III-Business-Process-Transactions-DXC-Technology-Riyadh-Saudi-Arabia
Data Allocation Specialist / Data Entry,Selah ElTelmeez For Publishing & printing -,"Obour City, Cairo, Egypt",15 days ago,Full TimeOn-siteEntry Level / 1 - 2 Yrs of Exp / Administration / Analyst/Research / Writing / Editing / Typing / Data Entry / Microsoft Office / Administration / Typing Skills / English,https://wuzzuf.net/jobs/p/652MeNWuJgYL-Data-Allocation-Specialist-Data-Entry-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt
Pricing Analyst,DSV - Global Transport and Logistics -,"Kuwait City, Kuwait",23 days ago,Full TimeExperienced / Accounting/Finance / Analyst/Research / Strategy/Consulting / Accounting / Finance / Analysis / Economics / Microsoft Office / Pricing / Tax,https://wuzzuf.net/jobs/p/g/S0PjlnOQ4q3j-Pricing-Analyst-DSV---Global-Transport-and-Logistics-Kuwait-City-Kuwait
Pricing Analyst 3,GovCIO -,"Kuwait City, Kuwait",23 days ago,Full TimeExperienced / Accounting/Finance / IT/Software Development / Analyst/Research / Accounting / Computer Science / Finance / Analysis / Economics / Information Technology (IT) / Linux,https://wuzzuf.net/jobs/p/g/cdNXK5IZVFJU-Pricing-Analyst-3-GovCIO-Kuwait-City-Kuwait
Accountant Business Analyst,Road Heroes  -,"Cairo, Egypt",2 months ago,Full TimePart TimeRemoteExperienced / 5 - 10 Yrs of Exp / Accounting/Finance / Administration / Administration / Accounting / Quickbooks / Finance / Financial Analysis / Book Keeping / Reporting / Microsoft Excel,https://wuzzuf.net/jobs/p/TcW2rO6VL4MW-Accountant-Business-Analyst-Road-Heroes-Cairo-Egypt
Data Modeler,BBI-Consultancy -,"Maadi, Cairo, Egypt",19 days ago,Full TimeHybridEntry Level / 1 - 3 Yrs of Exp / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Computer Engineering / Computer Science / Database / Engineering / Information Technology (IT) / Python / SQL,https://wuzzuf.net/jobs/p/tuVCfEqtgptQ-Data-Modeler-BBI-Consultancy-Cairo-Egypt
Senior Business Analyst,Confidential -,"Cairo, Egypt",2 months ago,Full TimeOn-siteExperienced / 6 - 10 Yrs of Exp / IT/Software Development / Business Analysis / Information Technology (IT) / Computer Science / Analysis / Software / Business Development,https://wuzzuf.net/jobs/p/WMhyvVgFvQ2l-Senior-Business-Analyst-Cairo-Egypt
Real Time Analyst,Safa International Travel -,"Dokki, Giza, Egypt",2 months ago,Full TimeShift BasedOn-siteExperienced / 1 - 3 Yrs of Exp / Customer Service/Support / Operations/Management / Tourism/Travel / Customer Service / MS Office / Operations,https://wuzzuf.net/jobs/p/6P2SmaXF2YYV-Real-Time-Analyst-Safa-International-Travel-Giza-Egypt
Junior Financial Reporting Analyst,Argaam -,"Mohandessin, Giza, Egypt",2 months ago,Full TimeOn-siteExperienced / 2 - 4 Yrs of Exp / Analyst/Research / analytical / Finance / Financial Analysis / Reporting,https://wuzzuf.net/jobs/p/fugNbzUah3hL-Junior-Financial-Reporting-Analyst-Argaam-Giza-Egypt
Senior Finance Analyst,Johnson & Johnson -,"Riyadh, Saudi Arabia",24 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Information Technology (IT) / Computer Science / Analysis / Business Analysis / Finance / Accounting / Financial Analysis,https://wuzzuf.net/jobs/p/g/DMBKcocvcWIK-Senior-Finance-Analyst-Johnson-Johnson-Riyadh-Saudi-Arabia
Underground Technical Senior Analyst,Mantrac -,"Alexandria, Egypt",2 months ago,Full TimeOn-siteExperienced / 10 - 15 Yrs of Exp / Engineering - Mechanical/Electrical / Engineering / Mining Engineering / Mining / Mechanical Engineering / Electrical Engineering / Technical Analysis,https://wuzzuf.net/jobs/p/D9rTGw9IgZS5-Underground-Technical-Senior-Analyst-Mantrac-Alexandria-Egypt
R&D Methodology Senior Specialist,Atco Pharma For Pharmaceutical Industries -,"Quweisna, Monufya, Egypt",14 days ago,Full TimeOn-siteExperienced / 2 - 5 Yrs of Exp / males_only / R&D/Science / Analyst/Research / Pharmaceutical / Pharmaceutical / R&amp;D / R&D / Pharmacy / Pharmaceutical Sciences / Science / Research,https://wuzzuf.net/jobs/p/Jci3aTPXE35m-RD-Methodology-Senior-Specialist-Atco-Pharma-For-Pharmaceutical-Industries-Monufya-Egypt
BI & Data Analytics Consultant,Mantrac -,"Alexandria, Egypt",22 days ago,Full TimeOn-siteExperienced / 5 - 7 Yrs of Exp / Analyst/Research / BI / Analysis / Power BI / Data Warehouse / Business Intelligence / BI Developer / Data Analysis / Data visualization / ETL,https://wuzzuf.net/jobs/p/B2lwaYBkrVx3-BI-Data-Analytics-Consultant-Mantrac-Alexandria-Egypt
Implementation Analyst - Large Scale transformation,Boston Consulting Group (BCG) -,"Riyadh, Saudi Arabia",25 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / information technology (it) / computer science / software development / sql / analysis / agile / project management,https://wuzzuf.net/jobs/p/g/clLx1bPUCOOj-Implementation-Analyst---Large-Scale-transformation-Boston-Consulting-Group-BCG-Riyadh-Saudi-Arabia
Data Analytics Engineer,Erada -,"Maadi, Cairo, Egypt",21 days ago,Full TimeOn-siteExperienced / 3 - 4 Yrs of Exp / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Analysis / analytical / Computer Science / Data Analytics / Engineering / Information Technology (IT) / Software Engineering,https://wuzzuf.net/jobs/p/M0QOPoyJQ6Ia-Data-Analytics-Engineer-Erada-Cairo-Egypt
Data Engineer,Erada -,"Maadi, Cairo, Egypt",20 days ago,Full TimeOn-siteExperienced / 2 - 3 Yrs of Exp / IT/Software Development / Engineering - Telecom/Technology / Engineering / Computer Science / Information Technology (IT) / Software Development,https://wuzzuf.net/jobs/p/0RQ3vpCEIlqy-Data-Engineer-Erada-Cairo-Egypt
Financial Analyst,Luna Pac -,"Giza, Egypt",2 months ago,Full TimeOn-siteExperienced / 5 - 7 Yrs of Exp / Accounting/Finance / Analyst/Research / Finance / Financial / Accounting,https://wuzzuf.net/jobs/p/KcjT7rq4IJ6x-Financial-Analyst-Luna-Pac-Giza-Egypt
MEA Data Analytics & Insights Director,Saudi Tourism Authority -,"Riyadh, Saudi Arabia",15 days ago,Full TimeNot specified / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Computer Science / Information Technology (IT) / SQL / Data Analytics / Analysis / BI / Computer Engineering,https://wuzzuf.net/jobs/p/g/AHfZSvQhuQrq-MEA-Data-Analytics-Insights-Director-Saudi-Tourism-Authority-Riyadh-Saudi-Arabia
Junior Credit Research Analyst,ICP CREDIT LTD -,"Heliopolis, Cairo, Egypt",2 months ago,Full TimeOn-siteEntry Level / Analyst/Research / Analysis / Research / English,https://wuzzuf.net/jobs/p/UZX93grXvRIs-Junior-Credit-Research-Analyst-ICP-CREDIT-LTD-Cairo-Egypt
Data Engineer,Hands of Hope Physical Therapy & Wellness -,"Maadi, Cairo, Egypt",28 days ago,Full TimeOn-siteExperienced / 2 - 7 Yrs of Exp / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Computer Engineering / Data Modeling / Database / Database Design / Design / Engineering / ETL,https://wuzzuf.net/jobs/p/0yNNI8gqx135-Data-Engineer-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt
Data Team Lead,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt",1 day ago,Part TimeHybridExperienced / 4 - 6 Yrs of Exp / IT/Software Development / Engineering - Telecom/Technology / AWS / Computer Engineering / Information Technology (IT) / Engineering / Python / SQL / Software Development / Management,https://wuzzuf.net/jobs/p/0SaV4UtFFTve-Data-Team-Lead-Nahdet-Misr-Publishing-Group-Giza-Egypt
Business Services Analyst,DXC Technology -,"Riyadh, Saudi Arabia",9 hours ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Business Analysis / Information Technology (IT) / Computer Science / Analysis / Software Development / Software / Engineering,https://wuzzuf.net/jobs/p/g/KLx5Yyr0fV4M-Business-Services-Analyst-DXC-Technology-Riyadh-Saudi-Arabia
Strategy Analyst Consultant,Voli_Agency _LTD -,"Kuwait City, Kuwait",9 hours ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Strategy/Consulting / Computer Science / Information Technology (IT) / Microsoft Office / Strategy / Accounting / Consulting / Finance,https://wuzzuf.net/jobs/p/g/tN7xCGfLL8Kj-Strategy-Analyst-Consultant-VoliAgency-LTD-Kuwait-City-Kuwait
Product Research Analyst,Voli_Agency _LTD -,"Kuwait City, Kuwait",4 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Research / Analysis / Information Technology (IT) / Business Analysis / Computer Science / Market Research / Marketing,https://wuzzuf.net/jobs/p/g/OyU6HYxx8gLl-Product-Research-Analyst-VoliAgency-LTD-Kuwait-City-Kuwait
Research Analyst,Black Pearl Consult -,"Dubai, United Arab Emirates",3 days ago,Full TimeExperienced / Accounting/Finance / Marketing/PR/Advertising / Analyst/Research / Research / Analysis / Market Research / Analyst / Marketing / Business Analysis / Accounting,https://wuzzuf.net/jobs/p/g/OYO5ptbGR8tO-Research-Analyst-Black-Pearl-Consult-Dubai-United-Arab-Emirates
Intelligence Analyst (Hybrid),PINKERTON | Comprehensive Risk Management -,"Dubai, United Arab Emirates",5 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Business Analysis / Business Intelligence / Computer Science / Information Technology (IT) / Analysis / Engineering / SQL,https://wuzzuf.net/jobs/p/g/zRZeeVNdl65O-Intelligence-Analyst-Hybrid-PINKERTON-Comprehensive-Risk-Management-Dubai-United-Arab-Emirates
Business Analyst - Dubai,HTrust Consulting -,"Dubai, United Arab Emirates",6 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Business Analysis / Information Technology (IT) / Computer Science / Analysis / Software Development / Software / Computer Engineering,https://wuzzuf.net/jobs/p/g/FHm1u9MPj1h4-Business-Analyst---Dubai-HTrust-Consulting-Dubai-United-Arab-Emirates
Business Analyst,Vista -,"Dubai, United Arab Emirates",1 day ago,Full TimeEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Business Analysis / Information Technology (IT) / Computer Science / Analysis / Software Development / Software / Computer Engineering,https://wuzzuf.net/jobs/p/g/UcFUH60vfzUH-Business-Analyst-Vista-Dubai-United-Arab-Emirates
Strategy Analyst Consultant,Intoude Foundation -,"Kuwait City, Kuwait",9 hours ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Strategy/Consulting / Computer Science / Information Technology (IT) / Microsoft Office / Strategy / Accounting / Consulting / Finance,https://wuzzuf.net/jobs/p/g/DxI21AZGii6G-Strategy-Analyst-Consultant-Intoude-Foundation-Kuwait-City-Kuwait
Product Research Analyst,Intoude Foundation -,"Kuwait City, Kuwait",2 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Research / Analysis / Information Technology (IT) / Business Analysis / Computer Science / Market Research / Marketing,https://wuzzuf.net/jobs/p/g/S02ijSQcSMPG-Product-Research-Analyst-Intoude-Foundation-Kuwait-City-Kuwait
Business Analyst,Jadeer -,"Riyadh, Saudi Arabia",11 hours ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Business Analysis / Information Technology (IT) / Computer Science / Analysis / Software Development / Software / Computer Engineering,https://wuzzuf.net/jobs/p/g/SvMZikOBN9oB-Business-Analyst-Jadeer-Riyadh-Saudi-Arabia
Training Analyst,BSL - BAE Systems Strategic Aerospace Services WLL -,"Doha, Qatar",26 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / information technology (it) / computer science / analysis / business analysis / erp / english / business,https://wuzzuf.net/jobs/p/g/JVNBXf1woSsG-Training-Analyst-BSL---BAE-Systems-Strategic-Aerospace-Services-WLL-Doha-Qatar
Brand Research Analyst,Voli_Agency _LTD -,"Kuwait City, Kuwait",8 days ago,Full TimeExperienced / Marketing/PR/Advertising / Analyst/Research / Media/Journalism/Publishing / Research / Analysis / Market Research / Marketing / Business Administration / Economics / Microsoft Excel,https://wuzzuf.net/jobs/p/g/0A35UrCYiqfu-Brand-Research-Analyst-VoliAgency-LTD-Kuwait-City-Kuwait
Senior Credit Analyst (UAE National Only),Mashreq Corporate & Investment Banking Group -,"Dubai, United Arab Emirates",8 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Information Technology (IT) / Computer Science / Analysis / Business Analysis / Finance / Accounting / Financial Analysis,https://wuzzuf.net/jobs/p/g/x1EDIG3eH6K1-Senior-Credit-Analyst-UAE-National-Only-Mashreq-Corporate-Investment-Banking-Group-Dubai-United-Arab-Emirates
Employee Health & Benefits Senior Analyst,Marsh -,"Riyadh, Saudi Arabia",11 days ago,Full TimeNot specified / Human Resources / IT/Software Development / Sales/Retail / human resources (hr) / recruitment / english / information technology (it) / insurance / management / benefits,https://wuzzuf.net/jobs/p/g/GsrINN6AXOmm-Employee-Health-Benefits-Senior-Analyst-Marsh-Riyadh-Saudi-Arabia
Workforce Planning Analyst,BSL - BAE Systems Strategic Aerospace Services WLL -,"Doha, Qatar",1 day ago,Full TimeExperienced / Accounting/Finance / Customer Service/Support / Analyst/Research / Finance / Analysis / Financial Analysis / Accounting / Planning / Customer Service / Budgeting,https://wuzzuf.net/jobs/p/g/GxRL30oRV05m-Workforce-Planning-Analyst-BSL---BAE-Systems-Strategic-Aerospace-Services-WLL-Doha-Qatar
CME - Business Analyst,Canon EMEA -,"Dubai, United Arab Emirates",3 days ago,Full TimeExperienced / R&D/Science / Medical/Healthcare / Pharmaceutical / pharmaceutical / healthcare / medical / biotechnology / management,https://wuzzuf.net/jobs/p/g/BhEDKFoi3lty-CME---Business-Analyst-Canon-EMEA-Dubai-United-Arab-Emirates
Sr Business Analyst ( Arabic),Trans Skills LLC -,"Dubai, United Arab Emirates",14 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Business Analysis / Information Technology (IT) / Computer Science / Analysis / Software Development / Software / Engineering,https://wuzzuf.net/jobs/p/g/GjqrbvqumIAa-Sr-Business-Analyst-Arabic-Trans-Skills-LLC-Dubai-United-Arab-Emirates
Financial Analyst,ALAQTAR -,"Riyadh, Saudi Arabia",17 days ago,Full TimeNot specified / Accounting/Finance / Banking / Analyst/Research / Finance / Financial Analysis / Accounting / Commerce / Microsoft Office / Financial Management / Analysis,https://wuzzuf.net/jobs/p/g/8TT8KJmDOODu-Financial-Analyst-ALAQTAR-Riyadh-Saudi-Arabia
Financial Analyst,CORE Life -,"Makkah, Saudi Arabia",15 days ago,Full TimeEntry Level / Accounting/Finance / Banking / Analyst/Research / Finance / Financial Analysis / Accounting / Commerce / Microsoft Office / Financial Management / Analysis,https://wuzzuf.net/jobs/p/g/dxTKhDzjmxu0-Financial-Analyst-CORE-Life-Makkah-Saudi-Arabia
Brand Research Analyst,Intoude Foundation -,"Kuwait City, Kuwait",8 days ago,Full TimeExperienced / Marketing/PR/Advertising / Analyst/Research / Media/Journalism/Publishing / Research / Analysis / Market Research / Marketing / Business Administration / Economics / Microsoft Excel,https://wuzzuf.net/jobs/p/g/GfzMz26kYETs-Brand-Research-Analyst-Intoude-Foundation-Kuwait-City-Kuwait
Strategic Planning Analyst,webook.com | We're All About Fun -,"Riyadh, Saudi Arabia",10 days ago,Full TimeExperienced / Accounting/Finance / Analyst/Research / Strategy/Consulting / Finance / Financial Analysis / Accounting / Planning / Analysis / Budgeting / Commerce,https://wuzzuf.net/jobs/p/g/jQdIQ52tsQkY-Strategic-Planning-Analyst-webook-com-Were-All-About-Fun-Riyadh-Saudi-Arabia
"Research Analyst - Infrastructure, Real Estate, Transportation & Tourism",Boston Consulting Group (BCG) -,"Riyadh, Saudi Arabia",17 days ago,Full TimeExperienced / Accounting/Finance / Marketing/PR/Advertising / Analyst/Research / Research / Analysis / Market Research / Analyst / Marketing / Business Analysis / Accounting,https://wuzzuf.net/jobs/p/g/WG20nDjV0kwU-Research-Analyst---Infrastructure-Real-Estate-Transportation-Tourism-Boston-Consulting-Group-BCG-Riyadh-Saudi-Arabia
Cyber Security Analyst,Al Salama Hospital -,"Makkah, Saudi Arabia",13 days ago,Full TimeEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Information Technology (IT) / Computer Science / Engineering / Cyber Security / Telecommunication / Linux / Networks,https://wuzzuf.net/jobs/p/g/uvoFe4ahdwU1-Cyber-Security-Analyst-Al-Salama-Hospital-Makkah-Saudi-Arabia
Business Analyst,Safe Decision Co. LLC -,"Riyadh, Saudi Arabia",22 days ago,Full TimeEntry Level / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Business Analysis / Information Technology (IT) / Computer Science / Analysis / Software Development / Software / Computer Engineering,https://wuzzuf.net/jobs/p/g/05JqmScabc2I-Business-Analyst-Safe-Decision-Co-LLC-Riyadh-Saudi-Arabia
Senior Implementation Analyst,Boston Consulting Group (BCG) -,"Riyadh, Saudi Arabia",17 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / Information Technology (IT) / Computer Science / Analysis / Business Analysis / Accounting / Finance / Engineering,https://wuzzuf.net/jobs/p/g/QkwumwengZKd-Senior-Implementation-Analyst-Boston-Consulting-Group-BCG-Riyadh-Saudi-Arabia
SR Program Control Analyst,"System Studies and Simulation (S3), Inc. -","Riyadh, Saudi Arabia",22 days ago,Full TimeExperienced / IT/Software Development / Analyst/Research / Engineering - Telecom/Technology / information technology (it) / computer science / software development / software engineering / quality / analysis / quality assurance,https://wuzzuf.net/jobs/p/g/qO5BO0Ykn9hg-SR-Program-Control-Analyst-System-Studies-and-Simulation-S3-Inc-Riyadh-Saudi-Arabia
Tax Accountant,Marseilia -,"Alexandria, Egypt",1 month ago,Full TimeOn-siteExperienced / 3 - 3 Yrs of Exp / males_only / Accounting/Finance / accountant / Accounting / Accounting Software / Finance / Financial Analysis / MS Office / Bookkeeping / Tax / tax accountant,https://wuzzuf.net/jobs/p/78UWvTr9SLkT-Tax-Accountant-Marseilia-Alexandria-Egypt
